cliente_id,data_pagamento,valor_pago
4584,2026-01-03 21:49:12.868391,776.61
1655,2025-12-14 21:49:12.868431,3128.96
1180,2026-02-12 21:49:12.867673,3157.01
2537,2025-12-27 21:49:12.868402,1451.05
8108,2026-02-14 21:49:12.867668,1419.82
1003,2025-12-22 21:49:12.868413,2488.32
7056,2026-02-01 21:49:12.867714,4666.05
4193,2026-02-02 21:49:12.867696,1435.08
3564,2025-12-10 21:49:12.868437,1362.55
8247,2026-03-02 21:49:12.866965,2603.86
6321,2026-01-16 21:49:12.868364,1505.48
5499,2026-02-05 21:49:12.867689,653.5
913,2026-02-23 21:49:12.867633,2007.61
5694,2025-12-09 21:49:12.868438,1842.91
5974,2026-02-25 21:49:12.867628,6250.9
2434,2025-12-28 21:49:12.868398,2697.93
1546,2026-02-17 21:49:12.867660,1053.04
7193,2026-02-02 21:49:12.867696,2830.19
5891,2025-12-04 21:49:12.868444,3220.06
8705,2026-02-11 21:49:12.867675,3657.14
4443,2026-02-15 21:49:12.867665,4057.22
5861,2025-12-10 21:49:12.868437,589.24
8357,2025-12-27 21:49:12.868402,3407.74
6987,2025-12-13 21:49:12.868433,2081.52
6498,2026-02-16 21:49:12.867663,7082.73
9038,2025-12-31 21:49:12.868395,12855.79
7981,2026-01-02 21:49:12.868392,2226.83
8634,2025-12-27 21:49:12.868402,2717.81
2142,2026-02-07 21:49:12.867684,565.09
7540,2025-12-13 21:49:12.868433,2257.15
9128,2026-01-21 21:49:12.868352,1649.77
6631,2026-02-25 21:49:12.867628,3563.38
3630,2026-02-19 21:49:12.867653,1193.77
3350,2026-02-01 21:49:12.867714,2698.74
2447,2026-01-17 21:49:12.868362,2550.36
747,2025-12-17 21:49:12.868424,1000.08
3913,2026-02-03 21:49:12.867694,2785.5
8865,2025-12-29 21:49:12.868397,2810.96
3650,2026-02-26 21:49:12.867622,505.19
3267,2026-02-04 21:49:12.867692,2699.65
2785,2026-02-20 21:49:12.867645,3923.55
205,2025-12-09 21:49:12.868438,1538.24
374,2026-01-11 21:49:12.868375,1964.89
9128,2026-01-15 21:49:12.868366,1511.18
8155,2026-03-01 21:49:12.867589,2260.87
3976,2025-12-18 21:49:12.868422,4475.94
3443,2025-12-27 21:49:12.868402,3847.54
98,2026-01-22 21:49:12.868350,5073.56
4809,2025-12-22 21:49:12.868413,2569.24
4700,2026-01-13 21:49:12.868371,4767.35
2283,2025-12-11 21:49:12.868435,2675.19
9566,2025-12-18 21:49:12.868422,5514.45
2452,2026-01-24 21:49:12.868347,3909.26
2512,2025-12-18 21:49:12.868422,11558.63
9735,2026-01-29 21:49:12.868339,2953.55
1569,2026-01-02 21:49:12.868392,909.91
5055,2026-02-24 21:49:12.867630,3653.84
2823,2025-12-09 21:49:12.868438,1923.05
615,2025-12-20 21:49:12.868417,3320.96
8090,2026-01-22 21:49:12.868350,5925.64
2748,2025-12-28 21:49:12.868398,5613.95
4595,2025-12-17 21:49:12.868424,6419.65
8874,2025-12-30 21:49:12.868396,1107.68
4394,2025-12-15 21:49:12.868430,4587.86
9601,2026-02-18 21:49:12.867658,5057.43
4639,2026-01-22 21:49:12.868350,1244.95
4770,2025-12-24 21:49:12.868408,5853.73
2551,2026-01-15 21:49:12.868366,4389.17
6512,2026-01-02 21:49:12.868392,2268.87
6368,2026-02-10 21:49:12.867677,2739.87
8500,2026-02-23 21:49:12.867633,5525.17
3450,2025-12-05 21:49:12.868443,4337.98
335,2025-12-21 21:49:12.868415,2205.28
6633,2025-12-26 21:49:12.868403,2477.19
4125,2025-12-20 21:49:12.868417,2407.57
6052,2025-12-31 21:49:12.868395,8735.41
902,2026-01-05 21:49:12.868388,3502.12
6775,2025-12-23 21:49:12.868410,3790.42
9315,2026-01-02 21:49:12.868392,1761.84
7967,2026-02-26 21:49:12.867622,3439.15
4323,2026-01-14 21:49:12.868369,2240.07
6930,2026-02-06 21:49:12.867687,1889.58
8668,2026-03-02 21:49:12.866965,1833.27
3077,2026-01-23 21:49:12.868348,5078.81
2733,2025-12-10 21:49:12.868437,2169.03
4186,2026-02-14 21:49:12.867668,1971.05
4939,2026-02-14 21:49:12.867668,2249.08
6567,2026-01-11 21:49:12.868375,995.99
873,2026-01-09 21:49:12.868380,1217.77
7886,2025-12-18 21:49:12.868422,9739.43
4748,2026-02-02 21:49:12.867696,1847.05
5404,2025-12-24 21:49:12.868408,2961.41
3038,2025-12-24 21:49:12.868408,4527.74
6647,2025-12-19 21:49:12.868419,7751.66
7839,2025-12-05 21:49:12.868443,1202.09
259,2025-12-11 21:49:12.868435,2918.82
8207,2026-02-05 21:49:12.867689,4173.85
2814,2026-02-03 21:49:12.867694,1654.6
4820,2025-12-31 21:49:12.868395,2020.76
8883,2026-02-16 21:49:12.867663,448.37
3091,2026-01-19 21:49:12.868357,1491.25
3339,2025-12-22 21:49:12.868413,1562.05
4874,2026-01-31 21:49:12.868333,3304.89
6091,2026-02-16 21:49:12.867663,1274.5
1286,2026-01-01 21:49:12.868393,2374.73
8628,2025-12-31 21:49:12.868395,8290.64
3239,2026-02-08 21:49:12.867682,555.16
8323,2026-01-10 21:49:12.868378,1463.29
5979,2026-02-03 21:49:12.867694,1918.5
9871,2026-02-02 21:49:12.867696,8419.95
9471,2025-12-21 21:49:12.868415,3638.06
1766,2026-01-13 21:49:12.868371,3472.11
7547,2026-01-14 21:49:12.868369,2583.26
6354,2026-01-01 21:49:12.868393,1181.39
5784,2026-03-02 21:49:12.866965,3867.44
7773,2025-12-24 21:49:12.868408,981.54
6547,2026-01-06 21:49:12.868386,321.77
8071,2026-03-01 21:49:12.867589,4046.84
2356,2025-12-22 21:49:12.868413,2325.68
5039,2026-01-23 21:49:12.868348,2419.36
1031,2025-12-07 21:49:12.868440,862.87
8710,2025-12-18 21:49:12.868422,2346.95
8705,2025-12-12 21:49:12.868434,2592.43
2725,2025-12-29 21:49:12.868397,2702.56
7017,2026-02-08 21:49:12.867682,1997.35
5370,2026-01-03 21:49:12.868391,2870.23
1962,2026-01-04 21:49:12.868389,5403.23
3492,2026-01-04 21:49:12.868389,1503.82
4486,2026-01-09 21:49:12.868380,1341.19
1384,2025-12-30 21:49:12.868396,3111.08
7455,2026-01-30 21:49:12.868337,3835.67
5768,2025-12-11 21:49:12.868435,3735.36
4887,2025-12-04 21:49:12.868444,2355.9
902,2025-12-22 21:49:12.868413,4091.08
1616,2025-12-08 21:49:12.868439,1382.32
9606,2026-02-28 21:49:12.867612,1105.8
709,2025-12-03 21:49:12.868445,2612.65
2592,2026-02-19 21:49:12.867653,6144.53
1923,2026-01-26 21:49:12.868344,1079.96
137,2026-02-23 21:49:12.867633,2744.87
1600,2026-01-05 21:49:12.868388,10347.5
4545,2025-12-31 21:49:12.868395,2187.85
7260,2025-12-12 21:49:12.868434,2624.15
8902,2026-01-18 21:49:12.868359,5162.46
3709,2025-12-05 21:49:12.868443,1908.44
8821,2025-12-20 21:49:12.868417,5384.9
9055,2026-02-27 21:49:12.867618,1928.32
4601,2025-12-13 21:49:12.868433,2131.77
2304,2026-02-11 21:49:12.867675,5696.69
2530,2026-02-25 21:49:12.867628,5675.39
2895,2025-12-03 21:49:12.868445,3567.33
3983,2026-02-10 21:49:12.867677,4814.71
6298,2026-02-02 21:49:12.867696,4984.92
7532,2025-12-30 21:49:12.868396,4295.13
4487,2026-03-01 21:49:12.867589,2938.46
4920,2026-02-07 21:49:12.867684,7820.49
50,2025-12-09 21:49:12.868438,338.15
1387,2025-12-12 21:49:12.868434,1714.86
7006,2025-12-12 21:49:12.868434,3835.92
3788,2026-02-27 21:49:12.867618,2079.56
4310,2026-01-24 21:49:12.868347,2043.42
6997,2026-02-04 21:49:12.867692,1402.28
6293,2026-02-12 21:49:12.867673,5952.44
4493,2025-12-08 21:49:12.868439,1140.77
4789,2026-01-28 21:49:12.868341,4467.69
4704,2026-02-18 21:49:12.867658,1164.86
1155,2026-01-05 21:49:12.868388,1124.92
2695,2026-02-26 21:49:12.867622,6921.19
3630,2026-01-12 21:49:12.868373,1495.35
164,2025-12-23 21:49:12.868410,2611.58
1599,2026-01-30 21:49:12.868337,4620.87
4782,2025-12-18 21:49:12.868422,4577.27
2890,2026-01-07 21:49:12.868385,7536.85
589,2026-01-29 21:49:12.868339,3059.44
3089,2026-02-04 21:49:12.867692,1251.96
5805,2026-02-24 21:49:12.867630,3725.28
2424,2026-01-03 21:49:12.868391,1783.72
8097,2025-12-06 21:49:12.868441,6767.09
2267,2026-01-02 21:49:12.868392,3487.24
7866,2025-12-04 21:49:12.868444,5639.02
4585,2026-02-24 21:49:12.867630,3729.48
7377,2025-12-07 21:49:12.868440,3071.45
7997,2026-02-14 21:49:12.867668,2039.52
761,2026-01-28 21:49:12.868341,4335.14
9558,2025-12-07 21:49:12.868440,932.98
548,2025-12-29 21:49:12.868397,2633.25
9372,2026-01-10 21:49:12.868378,4018.27
7128,2026-02-21 21:49:12.867640,5696.07
4756,2025-12-27 21:49:12.868402,10735.71
5421,2025-12-17 21:49:12.868424,2376.7
5970,2025-12-23 21:49:12.868410,4050.08
